NÚMERO DO CONTRATO,OBJETO DO CONTRATO,CONTRATADA,CNPJ DA CONTRATADA,VALOR TOTAL,VALOR EXECUTADO,DATA DE INÍCIO,DATA DE TÉRMINO,SITUAÇÃO DO CONTRATO,UNIDADE BENEFICIADA,CATEGORIA DO OBJETO
Adesao,"Forneceimento De Energia Eletrica - Codigo Do Cliente 7006906448 Contratacao Da Companhia Energetica De Pernambuco - Neoenergia Pernambuco - Cnpj Nº 10.835.932/0001-08, Para O Fornecimento De Energia Eletrica, Para Atender As Necessidades Dos Orgaos E Entidades Da Administracao Publica Estadual, Autarquias, Fundacoes, Empresas Publicas, Sociedades De Economia Mista E Suas Subsidiarias, Dependentes Do Tesouro Estadual.",Neoenergia,10835932000108,,674516.37,2024-09-25,2034-09-25,Em Execucao,Combo 11 - Reitoria - Iit - Ic - Caruaru - Fop Camaragibe,Servico De Prestacao Continuada
Adesao,"Forneceimento De Energia Eletrica - Codigo Do Cliente 7037574478 Contratacao Da Companhia Energetica De Pernambuco - Neoenergia Pernambuco - Cnpj Nº 10.835.932/0001-08, Para O Fornecimento De Energia Eletrica, Para Atender As Necessidades Dos Orgaos E Entidades Da Administracao Publica Estadual, Autarquias, Fundacoes, Empresas Publicas, Sociedades De Economia Mista E Suas Subsidiarias, Dependentes Do Tesouro Estadual.",Neoenergia,10835932000108,,674516.37,2024-09-25,2034-09-25,Em Execucao,Combo 11 - Reitoria - Iit - Ic - Caruaru - Fop Camaragibe,Servico De Prestacao Continuada
Adesao,"Forneceimento De Energia Eletrica - Codigo Do Cliente 7033223395 Contratacao Da Companhia Energetica De Pernambuco - Neoenergia Pernambuco - Cnpj Nº 10.835.932/0001-08, Para O Fornecimento De Energia Eletrica, Para Atender As Necessidades Dos Orgaos E Entidades Da Administracao Publica Estadual, Autarquias, Fundacoes, Empresas Publicas, Sociedades De Economia Mista E Suas Subsidiarias, Dependentes Do Tesouro Estadual.",Neoenergia,10835932000108,,674516.37,2024-09-25,2034-09-25,Em Execucao,Combo 11 - Reitoria - Iit - Ic - Caruaru - Fop Camaragibe,Servico De Prestacao Continuada
Adesao,"Forneceimento De Energia Eletrica - Codigo Do Cliente 7046810109 Contratacao Da Companhia Energetica De Pernambuco - Neoenergia Pernambuco - Cnpj Nº 10.835.932/0001-08, Para O Fornecimento De Energia Eletrica, Para Atender As Necessidades Dos Orgaos E Entidades Da Administracao Publica Estadual, Autarquias, Fundacoes, Empresas Publicas, Sociedades De Economia Mista E Suas Subsidiarias, Dependentes Do Tesouro Estadual.",Neoenergia,10835932000108,,,2024-09-25,2034-09-25,Em Execucao,Combo 11 - Reitoria - Iit - Ic - Caruaru - Fop Camaragibe,Servico De Prestacao Continuada
Adesao,"Forneceimento De Energia Eletrica - Codigo Do Cliente 7007459194 Contratacao Da Companhia Energetica De Pernambuco - Neoenergia Pernambuco - Cnpj Nº 10.835.932/0001-08, Para O Fornecimento De Energia Eletrica, Para Atender As Necessidades Dos Orgaos E Entidades Da Administracao Publica Estadual, Autarquias, Fundacoes, Empresas Publicas, Sociedades De Economia Mista E Suas Subsidiarias, Dependentes Do Tesouro Estadual.",Neoenergia,10835932000108,,,2024-09-25,2034-09-25,Em Execucao,Combo 11 - Reitoria - Iit - Ic - Caruaru - Fop Camaragibe,Servico De Prestacao Continuada
Adesao,"Forneceimento De Energia Eletrica - Codigo Do Cliente 4006413299 Contratacao Da Companhia Energetica De Pernambuco - Neoenergia Pernambuco - Cnpj Nº 10.835.932/0001-08, Para O Fornecimento De Energia Eletrica, Para Atender As Necessidades Dos Orgaos E Entidades Da Administracao Publica Estadual, Autarquias, Fundacoes, Empresas Publicas, Sociedades De Economia Mista E Suas Subsidiarias, Dependentes Do Tesouro Estadual.",Neoenergia,10835932000108,,,2024-09-25,2034-09-25,Em Execucao,Combo 11 - Reitoria - Iit - Ic - Caruaru - Fop Camaragibe,Servico De Prestacao Continuada
18,"Servico De Locacao De Imovel Tipo Predio,Localizado No Bairro De Santo Amaro, Cidade Recife,Com Area Construida De 8.900,01 A 9.000,00M2.",Maxxima Empreendimentos Ltda,07534634000173,2751881.32,4362418.11,2024-10-01,2029-10-01,Em Execucao,Campus Fop,Servico De Prestacao Continuada
18,"Servico De Locacao De Imovel Tipo Predio,Localizado No Bairro De Santo Amaro, Cidade Recife,Com Area Construida De 8.900,01 A 9.000,00M2.",Maxxima Empreendimentos Ltda,07534634000173,1066666.64,4362418.11,2024-10-01,2029-10-01,Em Execucao,Campus Fop,Servico De Prestacao Continuada
20,"Contratacao De Empresa Especializada Na Prestacao De Servicos De Agente De Integracao Para Operacionalizacao Do Programa De Estagio Corporativo, Visando Atender As Necessidades Da Universidade De Pernambuco, De Acordo Com As Especificacoes E Demais Disposicoes Contidas No Termo De Referencia, Referente Ao Pregao Eletronico Nº 0037.Sad, Processo Nº 0043.2023.Pregxii.Pe.0037.Sad.",Centro De Integracao Empresa Escola De Pernambuco - Ciee,10998292000157,212116.92,265560.79,2024-10-19,2026-10-18,Em Execucao,Upe,Servico De Prestacao Continuada Com Dedicacao Exclusiva De Mao De Obra
26,"Contratacao De Empresa Especializada Na Prestacao De Servicos Especializados De Impressao, Incluindo: Locacao De Equipamentos (Impressoras E Multifuncionais); Reposicao De Suprimentos (Exceto Papel); Disponibilizacao De Sistemas Para Gestao Informatizada Da Solucao; Alem De Suporte Tecnico Remoto E Manutencao Presencial (Preventiva E Corretiva) Para Atender As Necessidades Da Universidade De Pernambuco",Simpress Comercio Locacao E Servicos Ltda,07432517000107,138902.04,37000.24,2024-10-31,2027-10-31,Em Execucao,Upe,Servico De Prestacao Continuada
